,player_id,Full Name,team_name,year,Points,Rebounds,Assists,Steals,Blocks,FGA,FG%,3PA,3P%,FTA,FT%,Def. Rebounds,Off. Rebounds,Fouls,Turnovers
73,1879,Cody Martin,Charlotte Hornets,2020,-1.1755459791526819,0.261526262179819,0.22504470593537998,0.6864329003778635,0.021278244135522546,-1.5082668672165855,-0.32671406264484726,-0.3512533781640448,-0.5501885446906364,-0.5912628838902962,-1.2297502861782534,-0.7147074768378991,0.13564135879430686,-1.4059407870136758,-0.4484599005838865
75,308,Zach LaVine,Chicago Bulls,2020,1.4580372801567136,-0.23157360953629522,0.7159869619336204,-0.3387954862685233,0.09181702498398575,1.6659233235666018,0.5483179924836675,0.7644618283444916,0.8420004124074154,1.033299235383054,0.6051495210001168,0.7255515320907333,-0.06564316920271808,0.6537273006978771,1.251965879458715
76,534,Nikola Vucevic,Chicago Bulls,2020,1.0674645806134133,1.4045212855943963,0.5085675098682358,-0.07815180950105687,0.3986032504288773,1.6446819483288373,0.07668675784220952,0.5931128349009974,0.5549056084373231,0.16641122090533833,0.806873898750393,1.9344994177988233,1.035336007262386,0.528564211413095,0.5077843405455628
77,1900,Coby White,Chicago Bulls,2020,0.40120632069662965,-0.4072765016684914,0.8531595780625405,-0.6647597836490368,-0.37551721847938163,1.0229173389521722,-0.5498648210362465,0.6544457317369571,0.37779299998389126,0.28371839756141487,1.068660051221112,0.4550434310041633,-0.46718968162796487,0.838803991221661,0.8579771948079656
78,830,Lauri Markkanen,Chicago Bulls,2020,0.5097431041919555,0.42601184440135387,-1.2712836998126602,-0.47954682990956843,-0.030784124389612134,0.5915857304741517,0.06233435292338658,0.59195848451939,0.6028458836399483,0.18724688859737595,0.25910287383266967,0.8142286587759504,0.08375308445634137,-0.30281124536867843,0.09597579524345863
79,570,Thaddeus Young,Chicago Bulls,2020,0.42631060826583755,0.8192055362641434,1.0586137553752004,0.5855611778740782,0.4153556815549206,0.5062274012241574,1.1606561022564708,-0.5523734736435859,-0.5054312008922223,0.11508528856174352,-0.9874718948893549,0.49089276383956415,1.1143875846553497,0.5325574317910955,0.7121375744443899
80,950,Wendell Carter Jr.,Chicago Bulls,2020,0.06310586710707543,1.1751321122358294,0.0837243038507723,-0.3485197579661311,0.5347401624396314,0.14990225877390145,0.30029715986152733,-0.3505605233744531,-0.5225443029327925,0.6590770091816514,-0.1317950331696034,1.1305996218490477,0.9500504144293723,1.0162554644060802,0.396784042819812
81,430,Otto Porter Jr.,Chicago Bulls,2020,0.22000888455557732,0.8697322282443205,0.15212619923777138,-0.4960036293438994,-0.4274795084669382,0.1545853821979985,-0.20919246971560473,0.3495291566837109,0.5565780053536533,0.031202091173157472,0.7144787861136691,0.8068603483040553,0.43917308517152803,-0.3010303078831975,0.023223033817688345
83,2664,Patrick Williams,Chicago Bulls,2020,-0.47416303389300235,0.012672094139358525,-0.8182650164554712,0.1600061651746964,0.38961834789408994,0.05955112534227386,0.2336073806123166,0.014715118603757222,0.6218943960303444,0.18543781321472627,-0.33220614659190917,0.44126593325707963,0.28714803395021565,0.11754359491530424,0.3783238928266424
84,470,Tomas Satoransky,Chicago Bulls,2020,-0.42118948784264265,-0.6934101989604673,1.2982499365693916,0.05609780898201241,-0.1255974461393617,-0.5301996886398606,0.6414869118005697,0.016244087211623147,0.3408894818414353,-0.05216264287149299,0.5373881535599476,-0.5909878188009604,-0.2792879478028717,-0.3181593555550901,0.43956369167370923
